Timestamp Time cx cy vx vy area ratio da_dt cx_ cy_ vx_ vy_ area_ dir label ID
1636236039039251676 2021-11-06T23:00:39.039251 518.26 23.2588 2.12048 2.07316 1607.62 0.709335 217.074 520.381 25.332 2.12048 2.07316 1824.69 2 CAR 104
1636236039039284171 2021-11-06T23:00:39.039284 458.864 29.8884 6.66386 5.47388 1822.74 0.842162 349.478 465.528 35.3623 6.66386 5.47388 2172.22 2 CAR 153
1636236039107658820 2021-11-06T23:00:39.107661 37.5054 141.891 3.524 -42.5477 19853.4 0.424755 2173.5 41.0294 99.3436 3.524 -42.5477 22026.9 -2 CAR 1
1636236039107830942 2021-11-06T23:00:39.107831 162.273 456.449 -4.73778 -1.59638 1185.72 0.793648 115.752 157.535 454.853 -4.73778 -1.59638 1301.47 -2 CAR 2
1636236039107965482 2021-11-06T23:00:39.107965 269.718 469.523 -2.34177 0.23188 924.565 1.42672 44.5266 267.377 469.755 -2.34177 0.23188 969.091 2 CAR 3
1636236039108159537 2021-11-06T23:00:39.108160 396.193 264.744 -2.47051 -22.4915 14856 0.130726 1564.5 393.722 242.253 -2.47051 -22.4915 16420.5 -2 CAR 5
1636236039108318222 2021-11-06T23:00:39.108318 162.167 304.245 3.69652 -20.5322 9893.03 0.576915 809.261 165.863 283.713 3.69652 -20.5322 10702.3 -2 CAR 6
1636236039108471152 2021-11-06T23:00:39.108471 328.679 155.847 3.44686 16.4684 13206.5 0.63156 1162.25 332.126 172.315 3.44686 16.4684 14368.7 2 CAR 44
1636236039108531893 2021-11-06T23:00:39.108532 575.961 29.9867 12.6499 2.95498 3422.11 0.861736 507.388 588.611 32.9417 12.6499 2.95498 3929.5 2 CAR 104
1636236039108634976 2021-11-06T23:00:39.108635 456.267 41.0085 4.69724 6.67284 1141.01 0.699841 152.157 460.964 47.6813 4.69724 6.67284 1293.16 2 CAR 153
1636236039108798443 2021-11-06T23:00:39.108798 27.8235 468.059 2.29406 -0.764687 973.431 1.98917 -22.9874 30.1175 467.294 2.29406 -0.764687 950.443 -2 CAR 222
1636236039144553789 2021-11-06T23:00:39.144556 52.4525 194.021 5.0636 -29.7872 36275.3 0.371873 3922.84 57.5161 164.233 5.0636 -29.7872 40198.2 -2 CAR 1
1636236039144659023 2021-11-06T23:00:39.144659 158.521 443.513 -4.6046 -3.1287 3132.95 0.810592 350.235 153.916 440.384 -4.6046 -3.1287 3483.18 -2 CAR 2
1636236039144817027 2021-11-06T23:00:39.144817 268.468 468.575 -2.19531 0.0735436 858.091 1.39331 30.5417 266.273 468.648 -2.19531 0.0735436 888.632 -1 CAR 3
1636236039144950407 2021-11-06T23:00:39.144950 398.619 240.737 -1.80878 -22.6964 15806 0.112584 1485.83 396.81 218.041 -1.80878 -22.6964 17291.9 -2 CAR 5
1636236039145058096 2021-11-06T23:00:39.145058 166.628 321.587 3.79988 -15.4144 10281.8 0.566053 755.42 170.428 306.173 3.79988 -15.4144 11037.2 -2 CAR 6
1636236039145248458 2021-11-06T23:00:39.145248 331.369 164.706 3.34529 15.4477 12667.2 0.595935 946.516 334.714 180.154 3.34529 15.4477 13613.8 2 CAR 44
1636236039145365556 2021-11-06T23:00:39.145365 498.786 50.7042 11.7748 7.23849 3119.56 0.61953 467.232 510.561 57.9427 11.7748 7.23849 3586.79 2 CAR 153
1636236039145648935 2021-11-06T23:00:39.145649 476.344 399.862 -0.115686 -17.7438 2238.45 0.772181 473.781 476.228 382.118 -0.115686 -17.7438 2712.23 -2 CAR 166
1636236039145868602 2021-11-06T23:00:39.145868 311.908 472.983 3.42152 0.622095 457.799 2.38708 -71.3799 315.329 473.605 3.42152 0.622095 386.419 2 CAR 199
1636236039198657743 2021-11-06T23:00:39.198660 67.8682 134.66 6.36409 -33.5023 38240.5 0.437771 3702.19 74.2323 101.158 6.36409 -33.5023 41942.7 -2 CAR 1
1636236039198809065 2021-11-06T23:00:39.198809 168.012 448.15 -2.83455 -2.15352 3370.76 0.877033 337.217 165.177 445.996 -2.83455 -2.15352 3707.98 -2 CAR 2
1636236039198925677 2021-11-06T23:00:39.198926 270.768 467.547 -1.6342 -0.0639537 640.862 1.30457 2.37489 269.134 467.483 -1.6342 -0.0639537 643.237 -1 CAR 3
1636236039199025317 2021-11-06T23:00:39.199025 408.303 189.934 -0.365675 -26.2258 14035.5 0.101265 1108.77 407.937 163.708 -0.365675 -26.2258 15144.3 -2 CAR 5
1636236039199163232 2021-11-06T23:00:39.199163 175.49 328.788 4.43557 -12.5745 9309.98 0.503978 555.423 179.926 316.214 4.43557 -12.5745 9865.4 -2 CAR 6
1636236039199296832 2021-11-06T23:00:39.199297 338.914 180.719 3.86944 15.5183 12077.4 0.572947 771.344 342.784 196.238 3.86944 15.5183 12848.7 2 CAR 44
1636236039199361478 2021-11-06T23:00:39.199361 512.923 46.991 12.1659 5.42504 6289.98 0.828936 889.618 525.089 52.4161 12.1659 5.42504 7179.6 2 CAR 153
1636236039199504120 2021-11-06T23:00:39.199504 481.228 254.299 0.963149 -45.3249 4891.91 0.685245 911.368 482.191 208.974 0.963149 -45.3249 5803.28 -2 CAR 166
1636236039199632788 2021-11-06T23:00:39.199633 313.565 473.904 2.95689 0.700837 270.56 2.04206 -98.6131 316.521 474.605 2.95689 0.700837 171.947 2 CAR 199
1636236039199755515 2021-11-06T23:00:39.199755 46.9802 417.437 7.30394 -17.6469 10788.7 1.52384 2988.67 54.2841 399.79 7.30394 -17.6469 13777.4 -2 CAR 222
1636236039199880510 2021-11-06T23:00:39.199880 200.412 472.823 -18.3525 2.29406 261.477 1.21694 -115.936 182.06 475.118 -18.3525 2.29406 145.541 2 CAR 315
1636236039199950269 2021-11-06T23:00:39.199950 198.412 22.9407 7.64687 13.7644 220.154 1.09474 14.9918 206.058 36.7051 7.64687 13.7644 235.146 2 CAR 330
